Article Title,Author(s),Year,Purpose,Sample Size,Category,Sample,Geographical Representation,Modelling Approach,Techniques/Model Used,Type of Data,Factors,Type of Rating,Evaluation Metric/Rating System,Evaluation Category,Key Findings,Criticism/Limitation
On the relationship between +/– ratings and event-level performance statistics,Garry A. Gelade & Lars Magnus Hvattum,2020,"This study investigates the relationship between event-level performance statistics (e.g., passes, interceptions) and the Plus-Minus (PM) rating system, a player rating methodology widely used in sports analytics. The paper examines the effectiveness of integrating specific player events to improve the predictive power and reliability of PM ratings for football.",16430,matches,"16,430 matches across five top European leagues",Europe,Regression,Multiple Linear Regression analyzes event-based data to assess variance in PM ratings. Recursive Feature Elimination to refine predictor variables for each position-specific PM model.,Event Data,"key passes, assists, tackle, save, aerial duels, red cards",Player,Enhanced Plus/Minus Ratings,Player Performance Related,"[1] Event-level statistics explain 22%-38% of variance in PM ratings, suggesting moderate alignment between top-down (PM) and bottom-up (event-based) metrics. [2] Event factors like key passes and interceptions strongly influence ratings for forwards and defensive midfielders, while goalkeepers rely heavily on saves and pass completion. [3] Combining event-based data with PM ratings improves match outcome predictions slightly but highlights PM ratings’ limitations as player-specific performance measures.","[1] PM ratings often incorporate both a player's direct contributions and contextual factors like team dynamics, which can dilute or misrepresent an individual player’s true performance. [2] The PM model favors forwards and attacking players, as these roles more directly affect score differentials. [3]  PM ratings for players with limited playtime or inconsistent performance can be highly variable, potentially affecting reliability in less predictable positions."
Plus-Minus Player Ratings for Soccer,"Tarak Kharrat, Javier López Peña, & Ian G. McHale",2020,"This study adapts the plus-minus (PM) ratings, commonly used in basketball and ice hockey, for use in soccer. It aims to objectively measure player contributions to team performance by introducing two innovative rating systems—Expected Goals Plus-Minus (xGPM) and Expected Points Plus-Minus (xPPM).",20868,matches,20868 games from 11 European leagues over 8 seasons,Europe,Regression,"Ridge Regression adapted to regularlize adjusted PM model, Expected Goals Model measures player impact on scoring chances and Expected Points Model to measure player impact on match outcomes.",Aggregated Data,"Goals, shots, game duration, substitutions, red cards, Player starting line-ups, segment performance, team dynamics, Team and league attributes, time-weighting for recent performance, and home-field advantage adjustments",Player,"Plus/Minus Ratings, Expected Goals Plus-Minus, Expected Points Plus-Minus",Player Performance Related,"[1]  xGPM and xPPM provide more nuanced evaluations by considering in-game context, as they consider the location of shots and the impact of the players in certain positions. [2] The PM adaptations allowed for relative strength ranking across European leagues, with the English Premier League emerging as the strongest.","[1] Goalkeepers and frequently substituted players may yield less meaningful PM ratings due to limited data or irregular playtime, which makes it an inaccurate model to judge goalkeepers impact and performance. [2] The model struggles to differentiate players with consistently high performance who always play together, as they do not consider individual performance data to evalaute individual contributions. [3] The method's computational demands may limit its scalability across smaller clubs or leagues with fewer resources."
Estimating transfer fees of professional footballers using advanced performance metrics and machine learning,Ian G. McHale & Benjamin Holmes,2023,The study aims to develop a model to predict the transfer fees of professional football players using advanced performance metrics and machine learning techniques. This model seeks to improve the prediction accuracy of transfer fees by incorporating data-driven metrics and sophisticated algorithms.,1946,player,"1,946 player transfers across 36 leagues from the 2011-2020 seasons",Global,"Regression , Ensemble Learning","Linear regression, elastic-net regression, and advanced machine learning models such as XGBoost and extreme gradient boosting with dropout regularization (xgbDART)",Event Data,"Player characteristics (age, height), experience (minutes played, international appearances), contract status, and performance metrics (Goals Impact Metric (GIM), Expected Goals Plus-Minus (xGPM), and crowd-sourced SoFIFA ratings)",Player,Predicted Transfer Fee,Financial Related,"[1] Machine learning models (XGBoost and xgbDART) significantly outperform traditional regression in predicting transfer fees, achieving R² values around 0.77. [2] Advanced player metrics (GIM and xGPM) improve prediction accuracy by offering a deeper insight into player contributions beyond traditional metrics like goals because they provid contextual information of the event. [3] The model identifies key variables influencing transfer fees, such as a club’s recent spending history and advanced performance metrics, enabling clubs to identify value-for-money transfers.","[1] The model's reliance on club-specific financial metrics, while useful, may lead to biases that reinforce disparities among clubs with varying budgets. This might limit its applicability for smaller clubs without consistent spending histories. [2] While SoFIFA ratings enhance the model, these crowd-sourced values introduce potential biases, as they may not always reflect real-time player performance accurately."
Offensive and Defensive Plus–Minus Player Ratings for Soccer,Lars Magnus Hvattum & Garry A. Gelade,2020,"The main aim of the work is to examine whether the individual plus/minus ratings obtained can be split into offensive and defensive contributions, thereby addressing the lack of defensive metrics for soccer players",52083,matches,"52,083 matches from 2008 to 2017",Global,Regression,Plus/minus rating models estimating offensive and defensive ratings,Aggregated Data,"starting lineup, time of goals, red cards, subs, players involved in red cards and subs, age, playing position",Player,Defensive and Offensive plus/minus rating models,Player Performance Related,"[1] New ratings perform almost exaclty the same as its predecessors as the regularization term for the overall player rating is similar. [2] Ignoring home advantage would lead to improvement in prediction loss. [3] Defenders are often older, lower market value (in relation to previous study), as attackers normally score low on their defensive ratings. ","[1] No contextualized information on the statistical data. [2] Home advantage is a difficult intangible factor to process. [3] Difficult to contextualize defensive ratings without relevant metrics, brings in potential errors when awarding players that play for bigger teams as long as they prevent goals."
Prediction of Football Player Value using Bayesian Ensemble Approach,"Hansoo Lee, Bayu Adhi Tama & Meeyoung Cha",2022,"This paper presents a predictive model for estimating football players’ market values using an optimized LightGBM model with Bayesian hyperparameter tuning. The model aims to address the limitations of traditional linear models by combining multiple data sources (SOFIFA and WhoScored) to create a robust, data-driven method for predicting player transfer fees.",2720,player,"2,720 players from the top four clubs in each of Europe’s top five leagues.",Europe,"Ensemble Learning , Bayesian Methods",LightGBM (Gradient Boosting) is used as the primary ensemble learning model for predicting market values.,Aggregated Data,"ability metrics, demogrpahic attributes, financial indicators, match performance metrics",Player,Predicted Market Value,Financial Related,"[1] The optimized LightGBM model achieved approximately 3.8 times lower RMSE than baseline regression models, demonstrating the efficacy of Bayesian tuning in improving predictive accuracy. [2] SHAP analysis highlighted “Overall Rating,” “Release Clause,” ""Age,"" and “Potential” as the top features, confirming the importance of these attributes in market value estimation. [3] Amongst playing attributes, a player's finishing  and their positioning is highly valued.","[1] Goalkeepers, may require tailored models due to unique metrics not fully captured in SOFIFA or WhoScored data. [2] As the SOFIFA dataset is derived from EA Sports data, the model relies on video game data, which, while robust, may not always align perfectly with real-world performance. [3] Although effective, the complexity of LightGBM with extensive hyperparameter tuning risks overfitting, especially if applied to smaller, less comprehensive datasets."
Dealing With Randomness in Match Outcomes: How to Rethink Performance Evaluation in European Club Football Using Expected Goals,Marc Brechot & Raphael Flepp,2020,"This study examines the use of expected goals (xG) as a more consistent and objective performance metric in football, aiming to reduce the impact of randomness on match outcomes.",7304,matches,"7,304 matches",Europe,Regression,Regression analysis to compare predictive power of the xG model against match results ,Event Data,"shot distance, position on the pitch, body part",Team and Player,xG difference ratings,Team Performance Related,"[1] The xG difference is a more accurate indicator of future performance than points won in past matches, as it accounts for scoring chances rather than isolated goals. [2] xG scores minimize randomness compared to actual goals, providing clubs with more stable ratings that support consistent player and team evaluations.","[1] The study’s xG model is simplified and does not factor in player-specific skills, defensive pressure, or contextual in-game factors, potentially limiting precision. [2] Focus on shot-based data excludes valuable non-scoring events, like defensive or midfield contributions."
A Profitable Model For Predicting the Over/Under Market in Football,Edward Wheatcroft,2020,The paper presents the Generalized Attacking Performance (GAP) rating system to predict the over/under 2.5 goals betting market in football. It evaluates whether alternative metrics like shots and corners outperform goals in predicting match outcomes.,54437,matches,"54,437 matches",Europe,Regression,"The GAP rating system calculates attacking and defensive team ratings based on inputs such as goals, shots, shots on target, and corners. Logistic regression is used to model the probability of a match exceeding 2.5 goals, and betting strategies such as Level Stakes and Kelly Criterion are tested.",Aggregated Data,"goals, shots, shots on target, corner, overround (bookmaker's margin) and odds",Team,Cumulative betting returns,Team Performance Related,"[1] Using shots and corners as inputs to the GAP rating system yields significantly better predictive value than using goals. [2] Betting with average odds leads to a loss, confirming market overround erodes returns unless the best odds are selected. [3] Demonstrates that non-goal stats (shots, corners) are more predictive of future goal totals in aggregate — confirming the value of alternative metrics.

","[1] The model shows a diminishing profit trend in recent years, possibly due to bookmakers factoring in advanced statistics like shots and corners. [2] Data limitations exclude potential richer data inputs. [3] The model doesn't account for off-the-ball actions. "
Predictive Analysis of Football Player Market Value Using Machine Learning,Gokul Krishna and Dr. Anjana S Chandran,2021,"This study aims to predict the market values of football players by leveraging machine learning models, focusing on improving valuation accuracy for financial and strategic decisions in club management.",N/A,N/A,N/A,Europe,Regression,Linear regression and supervised machine learning models,Aggregated Data,"goals, passes, minutes played, age, height",Player,Market Value,Financial Related,"[1] Regression-based methods, provided strong accuracy when predicting market values for mid-tier players, where market volatility is moderate. [2] Key performance metrics (e.g., goals, assists) and demographic data significantly impacted market value prediction.","[1]  The model struggles with the market values of high-tier players due to intangible factors, not quantifiable with traditional metrics. [2]  The model’s ability to generalize across different leagues and tiers may be limited without additional market-specific training data."
The Impact of Performance Measures in Football Players’ Transfer Market Value,Miguel da Silva Brito Pacheco Ferreira,2021,"This study investigates how specific performance measures influence the transfer market values of football players in Europe’s top leagues, considering positional differences (goalkeepers, defenders, midfielders, and attackers). By segmenting players and applying panel data regression, it aims to identify key performance metrics that predict transfer values across various player positions.",3451,player,"3,451 players across the top six European leagues spanning across three seasons",Europe,Regression,"Fixed Effects (FE) Panel Data Regression is used to estimate position-specific relationships between performance metrics and market values, accounting for player- and time-specific effects.",Aggregated Data,"Position-based metrics tailored to role, Defensive, offensive, and aerial duels per minute",Player,Predicted Market Value,Financial Related,"[1] Games without conceding positively impacted market values for goalkeepers, aligning with the emphasis on their defensive performance. [2] Correct passes correlated positively with defender values, while defensive and aerial duels had unexpected negative impacts on market values, suggesting complex valuation dynamics as it suggests they are getting targeted more often by attackers, likely due to being in a poorer team, which contradicts a player's value. [3] Goals had the strongest effect on transfer value, especially for midfielders and attackers. Offensive duels for midfielders also correlated positively. ","[1] Generalization within roles (e.g., wingers vs. center-backs) may obscure nuanced performance influences. [2]  No contextualized information on the statistical data."
Predict the Value of Football Players Using FIFA Video Game Data and Machine Learning Techniques,Mustafa A. Al-Asadi & Sakir Tasdemir,2022,"This study proposes a machine learning model to predict football players’ market values using data from FIFA 20, aiming to replace subjective, expert-based evaluations with a quantitative approach for more objective player valuation.",17980,player,"17,980 players from FIFA 20 video game data",Global,"Regression , Ensemble Learning , Supervised Learning","Compares Linear Regression, Multiple Linear Regression, Decision Trees, and Random Forest Regression, with Random Forest providing the best results.",Aggregated Data,"age, height, potential, international reputation, weak foot, position, shooting, passing, and dribbling",Player,Predicted Market Value,Financial Related,"[1] Random Forest achieved the highest accuracy (R² of 0.95), showing it effectively captures the complexity of market value predictions. [2] The features “potential” and “international reputation” are among the most influential for determining market value, highlighting the importance of player reputation beyond skill alone. [3] The study finds that limiting features to a core set (7 attributes) does not significantly affect model performance, simplifying predictions.","[1] Using FIFA 20 data limits the model’s applicability, as game-based ratings may not fully reflect real-world performance and transfer market dynamics. [2] The absence of real transfer data as a comparison restricts validation, potentially affecting the model’s generalizability to actual market scenarios."
A novel machine learning method for estimating football players’ value in the transfer market,Iman Behravan & Seyed Mohammad Razavi,2020,This study introduces a two-phase machine learning model to estimate football players' transfer market values using the FIFA 20 dataset. The aim is to overcome limitations in traditional crowd-based estimation methods by providing a data-driven approach tailored to specific player positions.,18278,player,"18,278 players from the FIFA 20 dataset",Global,"Regression , Unsupervised Learning",APSO-clustering (Automatic Particle Swarm Optimization Clustering) to categorize players and PSO-SVR (Particle Swarm Optimization with Support Vector Regression) to estimate market values within each cluster,Aggregated Data,"age, height, passing, dribbling, pace, defending, and position-specific skills like goalkeeping for goalkeepers and shooting for strikers",Player,Predicted Market Value,Financial Related,"[1] Segmenting players by position before estimating market value enhanced accuracy by reducing data complexity, with APSO-clustering showing high effectiveness in organizing players by role. [2] PSO-SVR demonstrated higher accuracy than other metaheuristic methods like GWO (Grey Wolf Optimizer), with a 74% accuracy in value estimation. [3] The study emphasizes the importance of position-specific attributes (e.g., goalkeeping for goalkeepers, shooting for strikers), reinforcing the need for tailored feature selection in valuation models.","[1] The FIFA dataset might not fully capture real-world player market values, as it is designed for gaming rather than actual market evaluation. [2] While effective for current roles, the model may lack flexibility to account for hybrid or multi-role players."
A Machine Learning Ensembling Approach to Predicting Transfer Value,"Ayse Elvan Aydemir, Tugba Taskaya Temizel, & Alptekin Temizel",2022,"The study aims to develop a machine learning ensembling approach to predict football player transfer values by integrating player performance data, financial indicators, and player popularity metrics.","70,383",player,"70,383 male football players from 85 countries and 174 competitions",Global,Ensemble Learning,"Ensemble Learning with LightGBM (gradient-boosted decision trees), using three different models based on varying levels of transfer fee transformations: raw values, root-transformed, and log-transformed values. These were combined into a meta-learner to capture different transfer value dynamics.",Event Data,"220 predictive features: historical transfer behaviour, transfer history, team quality, competition quality, team appearance, player performance, player injuries, player appearance, player popularity",Player,Predicted Transfer Fee,Financial Related,"[1] The ensemble model, combining different levels of transfer fee transformations (log-transformed, root-transformed, and raw values), showed better predictive performance across different ranges of transfer values, particularly for low and mid-range transfer fees, but struggled with high-value transfers. [2] Root-transformed base learners performed the best overall, while log-transformed learners specialized in lower transfer fees. [3] The most important predictive features were historical club transfer spending, market value from Transfermarkt, and competition-level ratings (ELO).","[1] The model does not incorporate financial data from buying clubs, which are often critical in determining transfer fees. [2] The model performs better for low- and mid-range transfers but faces challenges with outliers in the high-value range, which may be due to the long-tail distribution of transfer fees. [3] The paper highlights difficulties in matching and integrating data from different sources (WyScout, Transfermarkt, Google Trends) due to inconsistent naming conventions and different data structures. [4] The inclusion of popularity metrics (e.g., Google Trends) as predictors introduces a layer of subjectivity to the model."
The wisdom of crowds and transfer market values,Dennis Coates & Petr Parshakov,2022,This study investigates the accuracy and potential biases of crowd-sourced transfer market values for football players from Transfermarkt. It examines whether these values can reliably serve as proxies for actual transfer fees in player market evaluations.,5860,player,"5,860 transfers from various leagues, covering 955 selling clubs and 598 purchasing clubs between 1996 and 2016.",Global,Regression,Quantile regression models and linear regressions are used to examine biases and variability in crowd-sourced values relative to actual transfer fees,Aggregated Data,"Player characteristics (age, position, national team status, number of matches), popularity metrics, and crowd-based Transfermarkt estimates are the main factors in this analysis",Player,Predicted Transfer Fee,Financial Related,"[1] Crowd-sourced values from Transfermarkt tend to underpredict actual fees, particularly for high-value players. [2] Variables like player age, goals, assists, and national team status contribute to the variability between Transfermarkt values and actual transfer fees. [3] Transfermarkt values are more accurate for players in top leagues (e.g., English Premier League, La Liga) than for players in lesser-known leagues, reflecting higher information availability and crowd expertise for prominent players.","[1] Since Transfermarkt values rely on user contributions, they can be biased by crowd perceptions, especially for less well-known players or those in lower leagues. [2] The model has reduced predictive power outside top leagues, which might limit its utility in evaluating players in less scrutinized markets. [3] The study does not fully capture market conditions like bidding wars, forced sales, or specific club strategies that might affect transfer fees independently of player characteristics."
Bayesian hierarchical models for predicting individual performance in soccer,Leonardo Egidi & Jonah Gabry,2018,Implementation of hierarchical Bayesian framework to model and measure player performances with easily-available data ,237,player,237 players from 2015-16 Serie A Fantasy Football,Europe,Bayesian Methods,Hierarchical Bayesian models to predict the results of Italian fantasy football,Aggregated Data,"raw score, events (goal, assist, penalty saved, yellow card, red card, goal conceded, own goal, missed penalty)",Player,Fantasy rating,Player Performance Related,"[1] Player's position is an important factor in predicting fantasy ratings. [2] the quality of a player’s team, the opposing team, and the initial fantasy price do not account variation in the ratings [3] Coherent statistical framework implemented  with the Har-mis and MIX models allowing for modelling of missing values","[1] Data implemented combines subjective reviews with limited events [2] Study splits seasonal data into half, but the models should be useful dynamically. "
A weighted plus/minus metric for individual soccer player performance,Steven R. Schultze & Christian-Mathias Wellbrock,2018,"This study applies plus/minus ratings by enhancing the weightage of goals based on their importance and accounting for the relative strength of opponents. It aims to provide a more precise measure of player impact, especially given soccer's unique dynamics, such as lower scoring and limited substitutions.",102,matches,102 Bundesliga games from 2012/13 season,Europe,Custom Rating Systems,"Weighted Plus-Minus weights goals differently based on impact, while accounting for opponent strength using betting odds.",Event Data,"Player presence during goals, goal timing, field positioning, betting odds",Player,WPM: Weighted Plus/Minus,Player Performance Related,"[1] The WPM metric showed enhanced differentiation across player contribution as it provided more nuanced insights into player impact than the traditional plus-minus. [2] WPM identified key players based on their positioning. [3] By mapping shots conceded or taken with key players on and off the field, spatial analysis confirmed that weaker players expose specific areas of the pitch.","[1] Since it factors in team performance relative to expectations, WPM scores favor players from successful teams, potentially skewing cross-team comparisons. [2] The model’s reliance on betting odds and GIS mapping requires extensive, precise data, which can be time-intensive to collect and log. [3] Variability in league strength complicates direct comparisons between leagues, as well as across long time spans within the same league."
Augmenting Adjusted Plus-Minus in Soccer with FIFA Ratings,"Francesca Matano, Lee F. Richardson, Taylor Pospisil, Collin Eubanks, & Jining Qin",2018,"Introducing APM onto football by combining FIFA ratings into a single metric to solve the issue of plus minus ratings in football, where collinearity is an issue",1140,matches,1140 English Premier League games from 2015/16 - 2017/18,Europe,Bayesian Methods,Bayesian Regression,Aggregated Data,"goal differential, FIFA overall rating, player",Player,Augmented APM: FIFA ratings + APM,Player Performance Related,[1] Augmented APM predicts better than both standard APM and a model using only FIFA ratings.,"[1] lack of event data availability with advanced metrics [2] too much computing usage implemented to convert play-by-play data into statistical table for every participating player, not efficient."
A novel hybrid method for selecting soccer players during the transfer season,"Mohammad Mahdi Nasiri, Mojtaba Ranjbar, Madjid Tavana, Francisco J. Santos Arteaga & Reza Yazdanparast",2019,"The study presents a multi-criteria decision-making framework integrating fuzzy Analytic Network Process (ANP), PROMETHEE II, and bi-objective mathematical programming to support optimal player selection, accounting for both performance and budget constraints.",60,player,60 players from an Iranian soccer team,Asia,Decision & Heuristic Systems,"The model integrates fuzzy ANP for criteria weighting, PROMETHEE II for player scoring, and bi-objective integer programming for selection optimization, followed by Data Envelopment Analysis (DEA) to refine Pareto-efficient solutions.",Aggregated Data,"technical skills (e.g., passing, dribbling), mental abilities (e.g., teamworking, creativity), physical abilities (e.g., speed, stamina), and financial aspects like cost and expected income from transfers.",Player,Overall Player Score,Player Performance Related,"[1] The integrated approach facilitates efficient player selection by balancing performance and financial criteria. [2] The model enables teams to create a balanced roster within budget, while avoiding an overreliance on high-cost “star” players. [3] The model supports flexible transfer strategies, including loans and permanent acquisitions, tailored to team needs.","[1] The integration of fuzzy ANP and PROMETHEE II with DEA and integer programming is computationally intensive, which may limit its accessibility for real-time decision-making. [2] The need to assign weights for criteria in fuzzy ANP can introduce bias if not carefully managed. [3] The model is designed for transfer season selection, potentially limiting its applicability to long-term team planning or multi-season analysis."
The Golden Index: A classification system for player performance in football attacking plays,"Tiago Pereira, João Ribeiro, Filipe Grilo, & Daniel Barreira",2019,"This study develops the ""Golden Index"" (GI), a formula designed to quantify football players' contributions to attacking plays based on individual and collective performance metrics. The GI identifies ""Golden Players,"" or those with the most impactful performance in offensive sequences, through a combination of network analysis and traditional metrics.",38,matches,38 games Club Atlético de Madrid during the 2016-2017 season,Europe,Custom Rating Systems,Network Analysis Metrics to evaluate frequency and positioning of player interactions in attacking networks. Expert Validation and Weight Assignment on each metric.,Aggregated Data,"offensive actions, network positioning",Player,Golden Index Score,Player Performance Related,"[1] GI score identifies key attacking players critical in team's attacking chances. [2] The GI accommodates different positions, allowing comparisons between players with varied roles in attacking structures.","[1] GI does not assess defensive contributions, making it incomplete for players with primarily defensive responsibilities. [2] Developed for a single season and club, the GI may not directly generalize to other teams or leagues without recalibration. [3] Network metrics can overestimate player value in complex sequences where contributions are less tangible (e.g., off-ball movements)."
Introducing an expert system for prediction of soccer player ranking using ensemble learning,Reza Maanijou & Seyed Abolghasem Mirroshandel,2019,This study proposes a web-based expert system using ensemble learning to rank soccer players. The system combines various machine learning classifiers optimized by a genetic algorithm to predict player ranks across multiple categories.,495,player,"495 players from the Persian Gulf Premier League, with data collected over the 2015-2016 season",Asia,Ensemble Learning,"Ensemble learning with weighted voting and genetic algorithm optimization, combining classification algorithms like Naive Bayes, SVM, and BayesNet.",Aggregated Data,"player age, goals, yellow and red cards, national team appearances, and positions",Player,Player's Rank,Player Performance Related,"[1] The ensemble model showed superior accuracy over individual classifiers, especially when optimized with genetic algorithms. [2] Player rankings produced by the system aligned closely with expert assessments, providing reliable ranking predictions.","[1] The system relies on a regional dataset (Persian Gulf Premier League), limiting its generalizability to other leagues. [2] The genetic algorithm optimization increases computational demands, potentially limiting real-time performance. [3] While ranking is divided into four classes, finer distinctions could enhance player evaluation and scouting applications."
Actions Speak Louder than Goals: Valuing Player Actions in Soccer,"Tom Decroos, Lotte Bransen, Jan Van Haaren, & Jesse Davis",2019,"Provide a comprehensive evaluation method for every type of player action, while accounting for game context and longer-term effects of actions.",11565,matches,"11,565 games across top European leagues during 2012/13 to 2017/18 seasons",Europe,Ensemble Learning,"VAEP framework to assign value based on the change it brings to a team's likelihood of scoring or conceding, utilizes Catboost",Event Data,"starttime, endtime, startloc, endloc, player, team, actiontype, bodypart, result",Player,VAEP: Valuing Actions by Estimating Probabilities,Player Performance Related,"[1] VAEP captures player contributions more effectively than traditional metrics (goals and assists), identifying valuable players who might not score often. [2] The model is useful for talent scouting and characterizing player styles, helping clubs recruit players who fit specific playing styles.","[1] The framework only values on-ball actions, overlooking defensive contributions made off the ball. [2] Comparing players across different leagues can be challenging due to varying levels of competition. [3] Ratings can get diluted with the amount of actions a player performs."
PlayeRank: Data-driven Performance Evaluation and Player Ranking in Soccer via a Machine Learning Approach,"Luca Pappalardo, Paolo Cintia, Paolo Ferragina, Emanuele Massucco, Dino Pedreschi, & Fosca Giannotti",2019,"PlayeRank introduces a comprehensive data-driven framework to evaluate and rank soccer players’ performances across multiple roles using a machine learning approach. Unlike traditional evaluation methods, PlayeRank leverages rich soccer-log data to generate role-aware, multidimensional assessments of player performance.",19619,matches,"19,619 matches from Europe leagues across 4 seasons",Europe,"Unsupervised Learning , Supervised Learning","Feature Weighting through Linear Support Vector Classifier (LSVC) determines the importance of each feature (e.g., passes, tackles) by linking it to match outcomes. Role Detection using K-Means Clustering clusters players into eight main roles based on their average field position, allowing role-specific evaluations.",Event Data,All on-ball factor,Player,PlayeRank Score,Player Performance Related,"[1] PlayeRank effectively distinguishes players based on roles, identifying that key player ratings vary significantly by position. [2] The PlayeRank system achieved high concordance with professional scouts’ evaluations, outperforming other traditional metrics by up to 30% in accuracy. [3] The system identified that while top players achieve excellent performances more frequently, all players generally show a low frequency of “outlier” performances.","[1] The framework doesn’t cover goalkeepers, as they require separate evaluation due to different field responsibilities. [2]  The clustering approach may not fully capture nuanced, hybrid roles, which could impact the precision of player evaluations in dynamic game scenarios."
Modelling the financial contribution of soccer players to their clubs,Olav Drivenes Sæbøa & Lars Magnus Hvattum,2019,"The paper aims to create a framework that evaluates the financial impact of football player transfers on club success, particularly focusing on each player’s contribution to match outcomes and, consequently, league standings.",26039,matches,"26,039 matches from European Leagues across 2009 - 2015",Europe,"Regression , Simulation-Based Modelling","Regression Analysis and Monte Carlo Simulation, in combination with the plus/minus rating model. ",Aggregated Data,"player contributions to goal differentials, impact on match outcomes, financial metrics tied to league standings, such as broadcasting revenues.",Team and Player,Adjusted Plus/Minus Ratings,Player Performance Related,"[1] Players significantly impact team financial outcomes based on their contributions to goal differentials. This dual focus could encourage clubs to evaluate players not only on their athletic performance but also on their potential to contribute to revenue.  [2] The model’s use of Monte Carlo simulations and predictive capabilities allows clubs to forecast the likely impact of player transfers on both team success and revenue. [3] The study’s emphasis on weighting recent performances more heavily addresses a common issue in player evaluation models—keeping ratings current and reflective of a player’s recent form. Clubs can thus use this model to capture trends and fluctuations in a player’s performance, leading to more precise and timely evaluations.","[1] No contextualized information on the statistical data. [2] The model only calculates players’ marginal financial value, neglecting intrinsic team contributions and the fixed financial value of maintaining a full squad. This may underestimate player valuations. [3] The Monte Carlo simulation treats all players as consistently performing according to historical averages and does not factor in potential fluctuations in player form or tactical variations, which may lead to oversimplified projections."
A Fuzzy Inference System for Players Evaluation in Multi-Player Sports: The Football Study Case,"Wojciech Sa?abun, Andrii Shekhovtsov, Dragan Pamuc?ar, Jaros?aw Wa?tróbski, Bart?omiej Kizielewicz, Jakub Wie?ckowski, Darko Bozanic?, Karol Urbaniak & Bartosz Nyczaj",2020,"This study introduces a fuzzy inference system based on fuzzy logic and the Characteristic Objects Method (COMET) for evaluating forwards in team sports, using football as a case study. The model aims to objectively assess players based on performance metrics, reducing the subjectivity commonly found in traditional evaluation methods.",37,player,37 players,Europe,Decision & Heuristic Systems,"Fuzzy inference system with COMET for multi-criteria evaluation, using symmetrical and asymmetrical fuzzy triangular numbers to model uncertainty in player attributes.",Aggregated Data,"height, weight, age, passing accuracy, goal statistics, ball contacts, dribbles, and fouls",Player,Overall Player Score,Player Performance Related,"[1] The COMET method avoids traditional multi-criteria decision analysis (MCDA) weight assignment, instead using fuzzy logic to handle subjective criteria adaptively. [2] Comparisons with transfer market values and Golden Ball results showed that the model's rankings were competitive with subjective evaluations, suggesting practical relevance.","[1] The model is tailored specifically to forwards, which may limit its applicability to other player roles. [2] The use of fuzzy logic and COMET introduces computational complexity, which may pose challenges for real-time applications."
A Data Analytics Approach to Player Assessment,Nitin Singh,2020,"This study develops a data-driven model using Principal Component Analysis (PCA) and classification methods to assess and rank football players. It aims to provide an objective, quantitative approach to predict player rankings based on various performance metrics.",150,player,150 player observations,Global,"Unsupervised Learning , Supervised Learning , Regression","Principal Component Analysis (PCA) for feature reduction and Principal Components Regression (PCR), followed by classification algorithms (e.g., Decision Tree, Logistic Regression, Random Forest) for rank prediction.",Aggregated Data,"pace, dribbling, shooting, passing, defense, and physicality",Player,Player Ranking,Player Performance Related,"[1]  PCA identified key attributes contributing to player rank, with PCR explaining 61.7% of the rank variance. [2] Random Forest achieved an accuracy of 81.3%, indicating the effectiveness of ensemble methods for classification. [3] Agility, pace, dribbling, shooting, and passing were critical in ranking attackers, while defense and physicality influenced defensive players' rankings.","[1] Using FIFA’s simulated ratings may not fully reflect real-world player performance. [2] No contextualized information on the statistical data. [3] The model focuses on the top 50 players only, potentially limiting its application across a broader player base or league context."
Deep Soccer Analytics: Learning an Action-Value Function for Evaluating Soccer Players,"Guiliang Liu, Yudong Luo, Oliver Schulte, & Tarak Kharrat",2020,"This paper develops a new approach for evaluating soccer players by utilizing a Deep Reinforcement Learning (DRL) model to learn an action-value Q-function. The aim is to measure the impact of all soccer actions on overall game performance, offering a more comprehensive evaluation than traditional methods that focus on goals and shots.",2976,matches," 2,976 matches from Europe",Europe,"Reinforcement Learning , Neural Network",A deep reinforcement learning model is used to learn a Q-function that estimates the impact of a player’s actions on the probability of scoring the next goal. The model utilizes a two-tower Long Short-Term Memory (LSTM) architecture to separately process the home and away teams’ game dynamics. It also introduces two metrics: Goal Impact Metric (GIM) and Q-value-above-average-replacement (QAAR) for player evaluation.,Event Data,"game time remaining, x coordinate of ball, y coordinate of ball, manpower situation. Goal differential, action, action outcome, velocity, event duration, angle between ball and goal, home or away team",Player,Goal Impact Metric (GIM) and Q-value-above-average-replacement (QAAR),Player Performance Related,"[1] The DRL model captures complex game contexts and provides a more accurate player evaluation than traditional metrics like expected goals (xG). [2] The GIM metric shows high correlations with standard success metrics such as goals and assists, and outperforms existing player evaluation models. [3] The model identifies both offensive and defensive contributions by players, allowing for a comprehensive assessment of on-the-ball actions.","[1] The model only evaluates on-ball actions, excluding off-ball contributions (e.g., positioning). [2] The computational complexity of training the DRL model is high, requiring significant resources for real-time evaluation. [2] Metric favors attackers over defensive players"
