Article Title,Author(s),Year,Purpose,Sample Size,Category,Sample,Geographical Representation,Modelling Approach,Techniques/Model Used,Type of Data,Number of Factors,Factors,Type of Rating,Evaluation Measure,Evaluation Category,Study Design,Key Findings,Criticism/Limitation
A Fuzzy Inference System for Players Evaluation in Multi-Player Sports: The Football Study Case,"Wojciech Sa?abun, Andrii Shekhovtsov, Dragan Pamuc?ar, Jaros?aw Wa?tróbski, Bart?omiej Kizielewicz, Jakub Wie?ckowski, Darko Bozanic?, Karol Urbaniak & Bartosz Nyczaj",2020,"This study introduces a fuzzy inference system based on fuzzy logic and the Characteristic Objects Method (COMET) for evaluating forwards in team sports, using football as a case study. The model aims to objectively assess players based on performance metrics, reducing the subjectivity commonly found in traditional evaluation methods.",37,player,37 players,Europe,Decision & Heuristic Systems,"Fuzzy inference system with COMET for multi-criteria evaluation, using symmetrical and asymmetrical fuzzy triangular numbers to model uncertainty in player attributes.",Aggregated Data,17,"Height, Weight, Age, Total Passes, Pass Accuracy, key pass, Goals, Assists, Total Shots, Shots-on-Target, Bad Control, dispossession, Ball Touches, Dribbles, fouls, fouls won, Offsides",Player,Overall Player Score,Player Performance Related,Algorithmic rating/composite,"[1] The COMET method avoids traditional multi-criteria decision analysis (MCDA) weight assignment, instead using fuzzy logic to handle subjective criteria adaptively. [2] Comparisons with transfer market values and Golden Ball results showed that the model's rankings were competitive with subjective evaluations, suggesting practical relevance.","[1] The model is tailored specifically to forwards, which may limit its applicability to other player roles. [2] The use of fuzzy logic and COMET introduces computational complexity, which may pose challenges for real-time applications."
A Dimension Reduction Approach to Player Rankings in European Football,"Ayse Elvan Aydemir, Tugba Taskaya Temizel, Alptekin Temizel, Kliment Preshlenov, & Daniel M. Strahinov",2021,"This study presents a novel approach to ranking European football players across multiple leagues by developing a framework that standardizes and scales player performance metrics. This dimension reduction technique helps compare players across different competitions and considers external factors such as opponent difficulty, competition quality, and recency.",150810,player,"150,810 player-match observations",Europe,Unsupervised Learning,"The study scales in-game statistics to account for game duration using a modified per-90 minute scaling that standardizes player metrics across games, competition quality, opponent strength, and game recency. KPCA with cosine similarity for final dimension reduction to represent overall player performance in a single ranking metric.",Aggregated Data,15,"passes attempted, accurate passes, key pass, crosses, shots, dribbles, offensive duels won, defensive duels won, interceptions, recoveries, clearances, fouls committed, aerial duels won, ELO-based game-difficulty scale, competition-quality multiplier",Player,Player Ranking via Dimension Reduction,Player Performance Related,Algorithmic rating/composite,"[1] High-ranked players correlate significantly with increased market values and transfers to higher-ranking teams. [2] The scaling and KPCA approaches enable fair comparison of players across leagues, providing a global view of player performance. [3] The rank groups correlated well with post-analysis player market values, showing the frameworks effectiveness in estimating value increases beyond inflation.","[1] Middle-ranked players showed less market value differentiation, suggesting potential limitations in capturing mid-level performance factors. Only high-ranked players capture the value of the model. [2] The studys validation relies on market values from Transfermarkt, which may not fully reflect all aspects of player quality. [3] The model focuses on left and right backs, limiting generalizability to other positions without further adjustments."
Influence of Game Indicators on the Ranking of Teams in the Spanish Soccer League,"José Fernández-Cortés, Juan M. García-Ceberino, Javier García-Rubio & Sergio J. Ibáñez",2023,"This study analyzes the impact of various game indicators on the partial and final rankings of Spanish LaLiga teams across three distinct periods (pre-COVID-19, during COVID-19, and post-COVID-19). It aims to identify which indicators most strongly correlate with successful league outcomes.",2660,matches,"2,660 LaLiga matches across seven seasons",Europe,Regression,one-factor ANOVA and linear mixed models to evaluate the effects of game indicators on team rankings,Aggregated Data,15,"Yellow cards, Red cards, Possession, Total shots, Shots on target, Shots off target, free kick, Corners, Offsides, saves,  Fouls, Attacks,  Dangerous attacks, Total passes, Tackles",Team and Player,Team Rankings,Team Performance Related,Explanatory (associational/regression),"[1] Ball Possession and Total Passes Influence Final Ranking as higher-ranked teams consistently showed greater ball possession and a higher number of total passes, especially those qualifying for European competition. Shows that players who make more passes hold greater value in the team. [2] The COVID-19 period saw reduced home advantage, affecting match outcomes and related game indicators like fouls and yellow cards. This comes to speculate that referees are often dictated by the emotions of the crowd when awarding fouls or providing advantageous decisions to the home side.","[1] This analysis is limited to LaLiga, which may not generalize to leagues with different tactical and stylistic norms. [2] No contextualized information on the statistical data. [3] By focusing on pandemic periods, the studys insights might not fully apply to long-term trends, as the COVID-19 period had unique situational factors."
Bayesian hierarchical models for predicting individual performance in soccer,Leonardo Egidi & Jonah Gabry,2018,Implementation of hierarchical Bayesian framework to model and measure player performances with easily-available data ,237,player,237 players from 2015-16 Serie A Fantasy Football,Europe,Bayesian Methods,Hierarchical Bayesian models to predict the results of Italian fantasy football,Aggregated Data,14,"Goalkeeper, Defender, Midfielder, Attacker, Team Strength, Opponent Strength, Home/Away indicator,  Initial fantasy price,  Lagged average rating",Player,Fantasy rating,Player Performance Related,Predictive,"[1] Player's position is an important factor in predicting fantasy ratings. [2] the quality of a players team, the opposing team, and the initial fantasy price do not account variation in the ratings [3] Coherent statistical framework implemented  with the Har-mis and MIX models allowing for modelling of missing values","[1] Data implemented combines subjective reviews with limited events [2] Study splits seasonal data into half, but the models should be useful dynamically. "
Transition to attack in elite soccer,Mike Hughes & Trevor Lovell,2019,"This study examines the transition from defense to attack, emphasizing key areas and types of turnovers, and specific player actions that enhance scoring opportunities, and therefore their performance. By analyzing turnovers in elite-level matches, it highlights tactical insights into optimal transition play in competitive soccer.",29,matches,29 matches,Europe,,Chi-square tests to evaluate categorical outcomes like turnover zones and scoring opportunities.,Event Data,11,"turnover zone, turnover type, first on ball action, number of actions, outcome class, match venue, evolving tie status, team, time segment, match outcome",Team and Player,Transition Success Rate,Action-Centric Performance Metrics,Descriptive (summaries/associations),"[1] Transitions beginning in the offensive zone showed a high rate of scoring chances (49.45%) and a substantial goal conversion rate (7.69%), supporting strategies like high pressing and rewards players who win possession high up the pitch as the potential of scoring is greater. [2] Tackles were identified as the most effective turnover type, leading to more scoring opportunities and goals than interceptions. By weighting turnovers based on field zones (e.g., defensive vs. offensive zones), the effectiveness of a player's transition contributions can be evaluated. Offensive-zone turnovers, which yield higher scoring potential, would increase a players rating for impactful play, particularly for forwards or aggressive midfielders involved in pressing. [3] Immediate forward passes, dribbles, or runs after a turnover significantly increase the probability of a successful scoring opportunity. Player ratings can be enhanced by incorporating post-turnover decisions, such as forward passes, runs, and dribbles.","[1] Analysis confined to the Champions League knockout stages limits applicability to other leagues or competitive contexts. [2] Some turnovers and player actions may have been missed or inaccurately positioned due to the limited view from televised recordings?. [3] The model does not account for situational factors like opposition quality or time remaining, which could influence transition success and player decision-making??."
Football player ranking generated by multivariate methods,"Aniela Pilar Campos de Melo, Luiz Henrique Arruda Lima, Ana Beatriz Dutton da Silva Braúna, Hafy Mourad Jacoub de Cuba Kouzak, Fábio Borges Costa, João Felipe Batista da Silva Pinto, & Fernando de Castro Júnior",2022,To build a ranking of football players using multivariate statistical methods.,95,player,"95 players who won FIFA, UEFA, Ballon D'Or, FIFPro, World Soccer, and Golden Ball World Cup awards.",Global,Unsupervised Learning ,Multivariate clustering and principal component analysis.,Aggregated Data,14," appearances, wins, draws, losses, Goals, yellow cards, red cards, total awards won, Dream-Team selection (Ballon dOr 2020), national-league titles at club level, continental-club titles, World-Cup titles with national team, continental-championship titles with national team, Olympic gold medals",Player,Final ranking determined by applying weights derived from the principal component analysis (PCA),Player Performance Related,Predictive,"[1] The multivariate analysis categorized the 95 evaluated players into three distinct groups based on their performance metrics. [2] One of the surprising findings was the impact of yellow and red cards on the rankings. Some players with high indiscipline (e.g., frequent yellow/red cards) saw their rankings lowered due to the negative weighting of these metrics in the model. [3]  The principal component analysis explained 71% of the variance in the data, indicating that the ranking model captured a substantial portion of the variation among players' performances.","[1] The model relies on 14 specific variables, but these metrics may not fully capture the complexity of player performance as it emphasizes team accomplishments more than individual impact or skill. [2] The model standardizes performance data using mean and standard deviation, which simplifies and reduces the nuanced differences in player performance over different time periods, match conditions, and contexts. [3] The study uses principal component analysis (PCA) to determine weights for the various variables, but it is unclear whether the assigned weights truly reflect the relative importance of each performance measure."
Smart Data Scouting in Professional Soccer: Evaluating Passing Performance based on Position Tracking Data,"Matthias Kempe, Floris R. Goes & Koen A. P. M. Lemmink",2018,"This study aims to evaluate passing performance in professional soccer using position tracking data. It investigates how spatiotemporal variables derived from tracking data can serve as indicators for tactical behavior, pass accuracy, and other key performance metrics, offering a real-time, data-driven approach to player evaluation.",82,matches,82 professional soccer matches in the Dutch Eredivisie,Europe,Regression,Ridge Regression with Cross-Validation is used to evaluate the relationship between spatiotemporal variables and pass effectiveness.,Tracking Data,13,"x-coordinate, y-coordinate, velocities, acceleration, pass, tackles, assists, goals, shots, pass length, pass angle, pass velocity, total individual movement of all defenders in 3 s, total centroid movement of defending team",Player,CMP: Composite Pass Performance,Action-Centric Performance Metrics,Algorithmic rating/composite,"[1] The model achieved 75.6% accuracy in predicting pass effectiveness using I-Mov and C-Mov, indicating that spatiotemporal variables effectively capture passing impact. [2] Passes that cause movement along the X-axis correlate with higher assists, whereas collective movements along the Y-axis relate negatively with key passes.","[1] CMP requires precise tracking data, limiting applicability where such systems arent in place. [2] CMPs multiple components make it challenging to interpret without specific analytic expertise. [3] The focus on pass effectiveness may overlook defensive contributions, making it less suitable for evaluating purely defensive roles."
Machine Learning-Based Identification of the Strongest Predictive Variables of Winning and Losing in Belgian Professional Soccer,"Youri Geurkink, Jan Boone, Steven Verstockt, & Jan G. Bourgois",2021,"This study aims to identify the strongest predictive variables of winning and losing in the highest Belgian soccer division using machine learning techniques. It analyzes a wide range of variables, including technical, tactical, physical, and contextual indicators, to determine which factors most strongly correlate with match outcomes.",576,matches,"576 matches from Belgian's highest division, covering 2017/18 - 2019/20 seasons",Europe,"Ensemble Learning , Supervised Learning","xGBoost applied to predict outcome, after VIF to obtain relevant variables and BorutaShap for feature selection. TreeExplainer was used to identify the importance of features both globally and locally through SHAP values.",Aggregated Data,13,"Shots on target inside attacking penalty box, Distance > 25 km h?¹ (1st half), Distance > 25 km h?¹ (2nd half), Distance 6 -15 km h?¹ (2nd half), Accelerations > 2 m s?² (2nd half), High-speed actions > 15 km h?¹ (2nd half), Direct-Play possession share, Counter-Attack possession share, Cross , Match location (home advantage), Team ELO rating, Added transfer value of bench, ELO",Player,Key Predictors to Winning,Team Performance Related,Predictive,"[1] Strongest predictor of winning or losing was the total number of shots on target from inside the attacking penalty box, showing the relevance of contextualizing variables for inside the box where dangerous attacks can be scored or denied from. Other metrics include possession won and crosses. [2] Physical performance indicators are predictive only in the second half of games. [3] Not all traditional variables are strong predictors, need to be assessed. ","[1] Reliance on physical metrics in the second half overlook contributions in the first half, while it showed that the team who have greater energy span across the game are more successful, it is difficult to capture this particular attribute as momentum plays apart. [2] The study only considers win/loss outcomes, excluding draws from the analysis, which could limit understanding of full match dynamics. [3] The model does not fully distinguish between variables that are causes of performance (e.g., physical output) and variables that are effects (e.g., increased high-intensity efforts when losing)."
Modelling the financial contribution of soccer players to their clubs,Olav Drivenes Sæbøa & Lars Magnus Hvattum,2019,"The paper aims to create a framework that evaluates the financial impact of football player transfers on club success, particularly focusing on each players contribution to match outcomes and, consequently, league standings.",26039,matches,"26,039 matches from European Leagues across 2009 - 2015",Europe,"Regression , Simulation-Based Modelling","Regression Analysis and Monte Carlo Simulation, in combination with the plus/minus rating model. ",Aggregated Data,11,"Player-presence indicator, Tournament dummy, Red-card dummy, home advantage,  Segment length (minutes played) to scale goals, Exponential time-decay weight for observation age, Difference in average plusminus rating between the two starting XI, Squad-availability flag, Premier-League payout schedule, Champions-League group-stage guarantee, Parachute payment schedule",Team and Player,Adjusted Plus/Minus Ratings,Player Performance Related,Algorithmic rating/composite,"[1] Players significantly impact team financial outcomes based on their contributions to goal differentials. This dual focus could encourage clubs to evaluate players not only on their athletic performance but also on their potential to contribute to revenue.  [2] The models use of Monte Carlo simulations and predictive capabilities allows clubs to forecast the likely impact of player transfers on both team success and revenue. [3] The studys emphasis on weighting recent performances more heavily addresses a common issue in player evaluation modelskeeping ratings current and reflective of a players recent form. Clubs can thus use this model to capture trends and fluctuations in a players performance, leading to more precise and timely evaluations.","[1] No contextualized information on the statistical data. [2] The model only calculates players marginal financial value, neglecting intrinsic team contributions and the fixed financial value of maintaining a full squad. This may underestimate player valuations. [3] The Monte Carlo simulation treats all players as consistently performing according to historical averages and does not factor in potential fluctuations in player form or tactical variations, which may lead to oversimplified projections."
Visual analytics of soccer player performance using objective ratings,"Marina Evers, Adrian Derstroff, Simon Leistikow, Tom Schneider, Larissa Mallepree, Jan Stampke, Moritz Leisgang, Sebastian Sprafke, Melina Schuhl, Niklas Krefft, Felix Droese, & Lars Linsen",2024,"The purpose of this article is to develop a more objective, data-driven approach to soccer player performance evaluation using visual analytics tools. The authors propose methods to rate players based on event and tracking data, providing flexibility for users (coaches, scouts, journalists) to assign weights to different metrics like passes, duels, and shots. The idea is to move away from subjective ratings typically provided by football experts, making the evaluation more accurate and less biased.",51,matches,51 UEFA European Football Championship 2020 games,Europe,Regression,"Logistic regression models are employed to predict various outcomes, such as pass success, duel success, and shot goal probability.",Event Data,13,"Pressure on passer, change in pressure to receiver, packing (opponents bypassed), passes-until-shot, pitch-area weight, expected-pass-success, pressure at duel, passes-until-shot, duel-area weight, expected-duel-success,   pressure on shooter, shot accuracy zone, expected-goal-success",Player,"Overall score is calculated by aggregating the individual ratings for passes, duels, and shots, all on a 0-10 scale",Player Performance Related,Explanatory (associational/regression),"[1] The system allows for comparing players within the same game and across multiple games by adjusting the importance of various metrics like passes, shots, and duels. [2] ","[1] Despite its focus on objective metrics, the tool allows users to subjectively adjust weights for different metrics. This flexibility introduces potential biases since different users may assign different importance to various metrics, thus affecting the overall rating. [2] The use of logistic regression models assumes linearity between variables, which may not fully capture the complexity of soccer actions and their impacts on game outcomes. [3] The system is designed to focus on only a few aspects of the game, such as passes, duels, and shots, which may miss other key components of player performance."
Outcome bias in subjective ratings of performance: Evidence from the (football) field,"Edgar E. Kausel, Santiago Ventura, & Arturo Rodriguez",2018,Studying the independence between performance and outcome to study outcome bias in football players' subjective performance ratings,43,matches,43 games,Global,Regression,multilevel mixed-effects and fixed-effects modeling,Aggregated Data,12,"performance ratings, penalty shootout result (won/lost), home advantage, First Kick, Shots on Target, Last Goal, Scored during Game, Took part in Shootout, Scored in Shootout, Goalkeeper",Player,Subjective performance rating from goal.com,Player Performance Related,Explanatory (associational/regression),"[1] Players who won the penalty shootout received a higher rating, proving that winning by penalties did have an effect on reporters' performance ratings of footballers. [2] This could lessen the argument for subjective ratings as it's also consistent with extensive literature on biases in performance ratings, as they put unwarranted weight on the outcome.","[1] Goal.com reporters gives holistic ratings and not criteria/metric based structure to footballers, as such they lack coherent foundations from the start. [2] The study could make better judgement with a formula to judge players on, having separate judehemtns on specific performance dimensions (shooting, passing, etc.)."
Offensive and Defensive PlusMinus Player Ratings for Soccer,Lars Magnus Hvattum,2020,"The main aim of the work is to examine whether the individual plus/minus ratings obtained can be split into offensive and defensive contributions, thereby addressing the lack of defensive metrics for soccer players",52083,matches,"52,083 matches from 2008 to 2017",Global,Regression,Plus/minus rating models estimating offensive and defensive ratings,Aggregated Data,6,"Player Presence Indicator, Home advantage, red cards, age, playing position",Player,Defensive and Offensive plus/minus rating models,Player Performance Related,Algorithmic rating/composite,"[1] New ratings perform almost exaclty the same as its predecessors as the regularization term for the overall player rating is similar. [2] Ignoring home advantage would lead to improvement in prediction loss. [3] Defenders are often older, lower market value (in relation to previous study), as attackers normally score low on their defensive ratings. ","[1] No contextualized information on the statistical data. [2] Home advantage is a difficult intangible factor to process. [3] Difficult to contextualize defensive ratings without relevant metrics, brings in potential errors when awarding players that play for bigger teams as long as they prevent goals."
The Defensive Golden Index: A novel method to rank football player defensive performance for Futbol Club Barcelona,"Rui Ferreira, Sara Pereira, João Ribeiro, Júlio Garganta & Daniel Barreira",2021,"This study introduces the Defensive Golden Index (DGI), a quantitative model for ranking individual defensive performance in football. It applies the DGI to analyze the defensive performance of FC Barcelona players in the 2018-2019 La Liga season against various opponent levels.",38,matches,38 matches at La Liga,Europe,Custom Rating Systems,Variable Weighting for Formula Development,Aggregated Data,12,"Tackles, Successful interceptions, Successful 1 v 1 defensive actions, Anticipations, Ball recoveries, Duel-mean (DM = ground + aerial duels won), block, Defensive action followed by a head pass, Defensive action followed by body pass except head, Defensive action resulting in ball out of play, Conceived fouls that originated non-dangerous situations, Yellow Total cards",Player,Defensive Golden Index,Action-Centric Performance Metrics,Algorithmic rating/composite,"[1] Combining technical actions (e.g., duels, interceptions) with disciplinary data (e.g., fouls, cards) provides a nuanced view of defensive efficacy, shows that negative indicators are relevant in player assessment. [2] High performance in duels and recoveries linked to effective defense-attack transitions, showing its relevance to team's offensive schemes. [3] The study emphasizes successful tackles and interceptions as the most critical defensive attributes in the Defensive Golden Index (DGI).","[1] Defensive contributions that transition directly to attack phases not fully captured, limiting evaluation of multifaceted roles. [2] Analysis limited to La Liga 2018-2019, potentially narrowing generalizability to other leagues. [3] The expert-informed weights are static and may not reflect situational tactical adjustments fully."
Diachronic analysis application for the detection of soccer performance standards: a case study,"Roberto Maneiro, Manuel Amatria & M.T. Anguera",2020,"This study aims to analyze soccer performance by examining the interactions of a specific player, Gerard Piqué, within the context of his team. Using observational methodology and polar coordinate analysis, the study focuses on interactions with teammates, positioning, technical skills, and influence on set pieces.",6,matches,6 matches,Europe,Graph-Based Modelling,"Polar coordinate analysis alongside lag sequential analysis to assess patterns of interaction, spatial zones, and technical actions.",Tracking Data,4,"types of interactions, pitch zones, preferred skill/technical moves, influence on set pieces",Player,Player Influence Level,Action-Centric Performance Metrics,Descriptive (summaries/associations),"[1] Piqué showed a high degree of spatial control, engaging in various areas of the field and displaying flexibility in both defensive and offensive zones. [2] Notable interaction patterns were found between Piqué and players like Sergio Ramos, indicating strong defensive coordination.","[1] Focusing solely on Piqué limits generalizability for understanding full-team interactions. [2] The studys observational approach may be subjective, relying on predefined criteria that could vary by observer. [3] This analysis is tailored to Piqués role in Spains team structure, potentially limiting applicability to other players or formations."
The wisdom of crowds and transfer market values,Dennis Coates & Petr Parshakov,2022,This study investigates the accuracy and potential biases of crowd-sourced transfer market values for football players from Transfermarkt. It examines whether these values can reliably serve as proxies for actual transfer fees in player market evaluations.,5860,player,"5,860 transfers from various leagues, covering 955 selling clubs and 598 purchasing clubs between 1996 and 2016.",Global,Regression,Quantile regression models and linear regressions are used to examine biases and variability in crowd-sourced values relative to actual transfer fees,Aggregated Data,12,"Transfermarkt Value, FIFA rating, National Team Player, Matches Played, Goals, Assists, Age, Midfielder, Defender, Time Remaining on Contract, Transfer Fee",Player,Predicted Transfer Fee,Financial Related,Explanatory (associational/regression),"[1] Crowd-sourced values from Transfermarkt tend to underpredict actual fees, particularly for high-value players. [2] Variables like player age, goals, assists, and national team status contribute to the variability between Transfermarkt values and actual transfer fees. [3] Transfermarkt values are more accurate for players in top leagues (e.g., English Premier League, La Liga) than for players in lesser-known leagues, reflecting higher information availability and crowd expertise for prominent players.","[1] Since Transfermarkt values rely on user contributions, they can be biased by crowd perceptions, especially for less well-known players or those in lower leagues. [2] The model has reduced predictive power outside top leagues, which might limit its utility in evaluating players in less scrutinized markets. [3] The study does not fully capture market conditions like bidding wars, forced sales, or specific club strategies that might affect transfer fees independently of player characteristics."
How to be praised in sports newspapers: a performance analysis from soccer matches,"Hugo Silva, Fábio Yuzo Nakamura, Vajiheh Javani, & Rui Marcelino",2023,"This study investigates how performance metrics impact player ratings in Portuguese sports newspapers, comparing these ratings with data from SofaScore to assess biases and the factors most valued by the media. It aims to understand the subjective elements influencing player evaluations in media versus data-driven metrics.",5,matches,5 Portuguese first division games from 2021/22 season,Europe,Regression,"Pearsons Correlation Analysis is used to measure the agreement between newspaper ratings and SofaScore for various player positions. Linear Regression Analysis identifies the performance variables with the strongest impact on newspaper ratings, assessing the relationship between player actions and media evaluations.",Aggregated Data,12,"goals, saves (GK only), assists, successful exits (GK sweeps), accurate passes, key pass, successful dribbles, ball losses, shots on target, tackles, duels won, playing position",Player,Newspaper Ratings,Player Performance Related,Explanatory (associational/regression),"[1] Offensive contributions, particularly goals and assists, were the primary drivers of high ratings across all newspapers. For instance, forwards received high ratings based on goal scoring, while central midfielders benefited from assists. [2] Goalkeepers received higher ratings in newspapers than in SofaScore, with newspapers valuing actions like successful exits and duels won, highlighting a bias towards defensive actions. [3] Each newspaper displayed unique biases; for example, A Bola and Record rated goalkeepers favorably for defensive actions, while O Jogo valued offensive contributions more broadly. Which means bias introduces subjective elements in the rating of players.","[1] Newspapers favored offensive metrics for rating defenders and midfielders, potentially disadvantaging defensive players whose actions dont directly impact goals or assists. [2] The studys findings are based solely on the Portuguese league, limiting generalizability across international leagues and different media environments. [3] Despite correlations, media ratings showed subjective bias, favoring visible actions (e.g., goals, saves) over other contributions, which may distort player evaluations."
What are the key performance indicators for a top position in the German Bundesliga?: 2022-2023 Bundesliga season example,Gizem Baskaya,2023,"Compare performance of teams using technical, tactical and physical performance parameters according to league rankings, reveal its effect and relationship",612,matches,612 matches played in Bundesliga,Europe,Regression,MANOVA test to reveal the difference between the teams and effect sizes were reported. Pearson Correlation Test was applied to determine the relationships between the performance parameters of the teams and the points they collected,Aggregated Data,12,"Possession, passing accuracy, goals, Goals conceded, Total shots, Duels won, Aerial duels won, Total points, Running-distance per match (km), Total running-distance (km), High-speed runs, Sprints",Team and Player,League ranking,Team Performance Related,Explanatory (associational/regression),"[1] Goals scored, goals conceded, total shots and total points are in favor of top ranked teams. [2] Possession, pass accuracy, goals scored, total shots (+) & goals conceded and aerial duels won (-) are highly correlated. [3] Running parameters have no correlation with points.","[1] Goalkeeping parameters are not considered. [2] Ignored the play without the ball in terms of their physical performance, and could not be reported on the data site. [3] No context in playing position is considered."
A weighted plus/minus metric for individual soccer player performance,Steven R. Schultze & Christian-Mathias Wellbrock,2018,"This study applies plus/minus ratings by enhancing the weightage of goals based on their importance and accounting for the relative strength of opponents. It aims to provide a more precise measure of player impact, especially given soccer's unique dynamics, such as lower scoring and limited substitutions.",102,matches,102 Bundesliga games from 2012/13 season,Europe,Custom Rating Systems,"Weighted Plus-Minus weights goals differently based on impact, while accounting for opponent strength using betting odds.",Event Data,3,"Player Presence Indicator, Opponent-strength Weight,  Goal-importance Weight",Player,WPM: Weighted Plus/Minus,Player Performance Related,Algorithmic rating/composite,"[1] The WPM metric showed enhanced differentiation across player contribution as it provided more nuanced insights into player impact than the traditional plus-minus. [2] WPM identified key players based on their positioning. [3] By mapping shots conceded or taken with key players on and off the field, spatial analysis confirmed that weaker players expose specific areas of the pitch.","[1] Since it factors in team performance relative to expectations, WPM scores favor players from successful teams, potentially skewing cross-team comparisons. [2] The models reliance on betting odds and GIS mapping requires extensive, precise data, which can be time-intensive to collect and log. [3] Variability in league strength complicates direct comparisons between leagues, as well as across long time spans within the same league."
Team Composition in PES2018 Using Submodular Function Optimization,"Yifeng Zeng, Gaoyang Shen, Bilian Chen & Jing Tang",2019,This study explores an automated team composition method in Pro Evolution Soccer 2018 (PES2018) by framing team selection as a submodular optimization problem. The goal is to recommend an optimal team that maximizes skill coverage and meets budget constraints.,9563,player,"9,563 players from the PES2018 database",Global,Optimization Techniques,"Submodular function optimization techniques, applying a greedy algorithm and an improved Cost-Effective Forward selection Greedy (CEFG) algorithm to optimize team selection.",Aggregated Data,11,"Attacking Prowess, Ball Control, Dribbling, Low Pass, Lofted Pass, Finishing, Heading, Defensive Prowess, Speed, Goalkeeping, Estimated Salary (Cost)",Player,Team's Win Rate,Team Performance Related,Algorithmic rating/composite,"[1] The Elo-based system identified key players whose ratings contributed significantly to team success. [2] Player-based ratings outperformed team-only ratings in match outcome predictions, supporting the systems use for evaluating lineup strength. [3] The rating system proved adaptable across competitions and was effective for player ranking, suggesting usefulness for scouting purposes in identifying high-impact players.","[1] Using PES2018 data limits generalizability, as attributes and skills may not reflect real-world player dynamics. [2] The study estimates player salaries based on ratings, which may not accurately capture true player value in complex sports markets. [3] By constraining team composition to a single formation, the model may lack flexibility in adapting to varied game strategies."
Augmenting Adjusted Plus-Minus in Soccer with FIFA Ratings,"Francesca Matano, Lee F. Richardson, Taylor Pospisil, Collin Eubanks, & Jining Qin",2018,"Introducing APM onto football by combining FIFA ratings into a single metric to solve the issue of plus minus ratings in football, where collinearity is an issue",1140,matches,1140 English Premier League games from 2015/16 - 2017/18,Europe,Bayesian Methods,Bayesian Regression,Aggregated Data,2,"Player Presence Indicator, FIFA rating",Player,Augmented APM: FIFA ratings + APM,Player Performance Related,Algorithmic rating/composite,[1] Augmented APM predicts better than both standard APM and a model using only FIFA ratings.,"[1] lack of event data availability with advanced metrics [2] too much computing usage implemented to convert play-by-play data into statistical table for every participating player, not efficient."
Estimation of Market Values of Football Players through Artificial Neural Network: A Model Study from the Turkish Super League,Tugbay Inan & Levent Cavas,2021,"The study develops an Artificial Neural Network (ANN) model to estimate the market values of Turkish Super League (TSL) players using performance-based parameters, with the goal of offering an objective valuation approach based solely on performance metrics.",236,player,236 midfield players from the Turkish Super League,Europe,Neural Network,Artificial Neural Network (ANN) with optimization of hidden layers and backpropagation algorithms.,Aggregated Data,11,"minutes played-played, Goals, Expected Goals, Assists, Expected Assists, Defensive-duels-won %, Tackle-success %, Shots-on-target %, Short-& Middle-pass accuracy %, long pass accuracy %, Pass-to-penalty-area accuracy %",Player,Predicted Market Value,Financial Related,Predictive,"[1] ANN was able to predict market values efficiently when simulated data was used, but not with real data from OPTA, showing how difficult it is to evalaute players based on market value using real performance data as Market value considers different aspects outside the pitch. [2] Metrics like minutes played, pass accuracy, and shots on target were influential in determining market values, highlighting the importance of consistent play and skill.","[1] Lack of correlation with real-world data indicates limitations in using only performance metrics to predict market value. [2] Simulated data may not reflect real-world complexities, limiting model applicability in actual transfer valuations. [3] No contextualized information on the statistical data."
Unveiling Multi-Agent Strategies: A Data-Driven Approach for Extracting and Evaluating Team Tactics from Football Event and Freeze-Frame Data,"Calvin Yeung, Rory Bunker, & Keisuke Fujii",2024,The study proposes a data-driven framework for extracting and evaluating team tactics in football using event and freeze-frame data. It aims to address limitations in current methods by including contextual information and sequential patterns to offer a more holistic evaluation of team tactics.,512,matches,512 matches,Europe,Neural Network,"The neural marked spatio-temporal point process (NMSTPP) model is used to model and predict team behaviors, incorporating temporal and spatial data from freeze-frame inputs.",Event Data and Tracking Data,11,"Zone ID, Inter-event time, x-coordinate, y-coordinate, distance to goal, angle to goal, Pass, Dribble, Cross, Shot, Possession-Ending Event",Team,Holistic Possession Utilization Score (HPUS),Team Performance Related,Algorithmic rating/composite,"[1] Five distinct team tactics were identified (e.g., pass-based, dribble-based, opponent wing-based). These patterns accounted for up to 43% of all possession strategies. [2] The integration of freeze-frame data significantly enhanced the predictive accuracy of the NMSTPP model, allowing for more precise evaluations of team tactics and performance.","[1] The model requires detailed event and freeze-frame data, which may not be available for all matches. [2] Some tactical insights could benefit from further validation through expert analysis, as the model relies heavily on statistical patterns. [3] The study focuses on attacking phases, with limited analysis of defensive tactics or transitions."
